Driver,Fastest Lap Time,Average Lap Time,STD Lap Time,Sector 1 Average,Sector 2 Average,Sector 3 Average,Qualifying Position,Finish Position
VER,86.993,90.04524137931033,3.8015751150712696,18.726245614035086,38.43918965517241,32.850655172413795,1.0,1.0
LEC,88.199,90.35546551724137,3.7955690419565826,18.855842105263164,38.410172413793106,33.056603448275865,2.0,3.0
RUS,88.187,90.39572413793101,3.784258661026659,18.774649122807016,38.28624137931033,33.28481034482759,4.0,4.0
PER,87.493,90.32891379310347,3.8262148410419603,18.69298245614035,38.32236206896551,33.23651724137931,9.0,2.0
NOR,88.164,90.46393103448277,3.9693644364969205,18.683631578947367,38.42534482758621,33.306620689655176,5.0,5.0
PIA,88.138,90.58812068965517,3.6566829423134872,18.652526315789473,38.4838275862069,33.41034482758621,3.0,6.0
ALO,88.256,90.72648275862068,3.8951301923324677,18.741578947368424,38.46599999999999,33.46344827586206,7.0,7.0
TSU,89.256,90.78813793103448,2.7840890508466125,18.55722807017544,38.71362068965517,33.452448275862075,6.0,8.0
HAM,88.372,90.8111724137931,3.867649317884903,18.883315789473688,38.3891724137931,33.4671724137931,11.0,9.0
STR,88.05,91.00441379310344,3.657185332043373,18.836105263157897,38.405465517241375,33.679362068965524,13.0,10.0
RIC,88.571,91.01470689655174,3.9945792580161843,18.909894736842105,38.59548275862069,33.413275862068964,15.0,11.0
OCO,90.033,91.18960344827586,2.823080665902943,18.668561403508768,38.571827586206894,33.86743103448276,12.0,12.0
GAS,89.016,91.2583448275862,4.017685088119879,18.973333333333336,38.57496551724138,33.6355,10.0,13.0
ALB,87.845,91.30703448275861,4.097032824414296,18.95122807017544,38.37243103448276,33.88,14.0,14.0
HUL,89.217,91.48827586206896,3.8773530732878316,18.99182456140351,38.89715517241379,33.521103448275866,8.0,15.0
SAR,88.58,91.55887931034482,4.159443733853023,18.957,38.49175862068966,34.00422413793103,20.0,16.0
ZHO,88.746,91.587,4.14695667805382,19.06017543859649,38.72377586206896,33.69803448275862,19.0,17.0
SAI,89.452,91.41970175438598,3.8523638811063865,19.046428571428574,38.649596491228074,33.63080701754386,16.0,15.0
BOT,89.863,91.84271929824561,3.213934391378224,18.87367857142857,38.87791228070176,33.987947368421054,18.0,19.0
MAG,89.934,91.8859649122807,4.0336672138082115,19.084142857142858,38.880526315789474,33.82035087719298,17.0,20.0
